X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,element_station2,id_station2,landuse,element_amenity,id_amenity,amenity
-7920155.93720364,5220771.77970917,M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23,147,POINT (-71.14797131 42.39790817),way,129132330.0,commercial,,,bicycle_rental
-7910070.94348244,5212655.17617052,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,148,POINT (-71.05737627 42.34404051),,,,,,
-7910649.21818085,5204778.04614537,C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,149,POINT (-71.062571 42.291718),,,,,,
-7913019.73556784,5210517.09839161,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,0,150,POINT (-71.08386572 42.32984299),,,,,,
-7912072.21523166,5209838.01673451,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,151,POINT (-71.075354 42.325333),,,,,,
-7908073.28516389,5216495.88593797,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,152,POINT (-71.039431 42.369536),,,,,,
-7912944.19861416,5219222.27614939,S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15,153,POINT (-71.08318716 42.38762811),,,,,,
-7913384.65978297,5219153.92938919,S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15,154,POINT (-71.08714389 42.38717463),,,,,,
-7911321.14262728,5217916.69091893,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,155,POINT (-71.068607 42.378965),,,,,,
-7911471.42393985,5216548.47105789,M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23,156,POINT (-71.069957 42.369885),,,grass,node,3061424264.0,bicycle_rental
-7914663.73297733,5208386.50796897,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,157,POINT (-71.098634 42.315692),,,,,,
-7911748.67626362,5220076.05240815,V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15,158,POINT (-71.0724476 42.39329263),,,,,,
-7893168.05062464,5238623.56821871,T32011,Essex St at Dalton Parkway,42.516223,-70.905535,Salem,Yes,11,159,POINT (-70.905535 42.516223),,,,,,
-7909967.8326909,5222144.80927099,V32003,Everett Square (Broadway at Chelsea St),42.40701602,-71.05645001,Everett,Yes,14,160,POINT (-71.05645001 42.40701602),,,,,,
-7908645.51187437,5214063.50460337,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,161,POINT (-71.0445714 42.35339051),,,,,,
-7906461.26761772,5211052.72156154,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,162,POINT (-71.02495 42.3334),,,,,,
-7910439.79950199,5205969.29921478,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,163,POINT (-71.06068976 42.29963349),,,,,,
-7913443.91292153,5211173.72023527,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,164,POINT (-71.08767617 42.33420351),,,,,,
-7912669.20496286,5220034.71772895,S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Somerville,Yes,19,165,POINT (-71.08071685 42.3930184),,,,,,
-7916401.98682606,5206163.38006385,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,166,POINT (-71.114249 42.300923),,,,,,
-7891096.95149843,5237139.39688135,T32010,Forest River Park,42.506395,-70.88693,Salem,Yes,11,167,POINT (-70.88693 42.506395),,,,,,
-7913759.48475361,5211926.46576529,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,168,POINT (-71.090511 42.339202),,,,,,
-7913746.48931626,5219743.20808388,S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15,169,POINT (-71.09039426 42.39108438),,,,,,
